Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken,Distance_km
37,4.9,Snack ,motorcycle ,24,3.028538156
22,4.8,Buffet ,motorcycle ,26,4.615529824
34,4.3,Buffet ,motorcycle ,20,2.93354037
35,4,Meal ,scooter ,33,6.224966796
25,4,Buffet ,motorcycle ,34,6.123824099
31,4.8,Drinks ,motorcycle ,26,4.679408283
37,4.9,Snack ,scooter ,16,3.03062814
29,4.7,Buffet ,motorcycle ,17,3.148590641
36,4.4,Meal ,scooter ,39,6.224799818
25,4.6,Snack ,motorcycle ,15,1.559828814
24,4.3,Meal ,motorcycle ,19,3.028721782
39,4.7,Meal ,scooter ,15,2.98789418
24,4.6,Drinks ,motorcycle ,25,4.474627889
26,5,Meal ,scooter ,11,1.522135185
32,4.9,Snack ,motorcycle ,18,3.067920043
37,4.9,Buffet ,motorcycle ,27,4.679379826
37,4.6,Drinks ,motorcycle ,41,6.29718109
23,4.8,Buffet ,scooter ,19,3.148590641
37,4.7,Buffet ,scooter ,26,4.668790967
35,4.7,Drinks ,motorcycle ,34,4.662376819
29,4.7,Snack ,motorcycle ,17,2.984557512
27,4.6,Snack ,scooter ,25,4.56637531
26,4,Buffet ,motorcycle ,34,6.154291174
21,4.9,Meal ,scooter ,26,4.400344139
22,4.3,Meal ,motorcycle ,23,3.112541973
29,4.6,Meal ,scooter ,29,4.499325812
25,5,Meal ,motorcycle ,14,1.562321684
20,4.8,Drinks ,scooter ,25,4.722885901
33,4.6,Buffet ,motorcycle ,15,2.987980756
20,4.8,Snack ,motorcycle ,14,1.531436931
38,4.8,Buffet ,motorcycle ,20,3.108281855
39,4.9,Drinks ,motorcycle ,26,4.615237407
20,4.7,Meal ,scooter ,25,2.987855907
35,4.9,Buffet ,motorcycle ,53,10.42873532
22,4.8,Drinks ,motorcycle ,19,3.028448579
28,4.8,Buffet ,motorcycle ,23,3.077087223
22,4.8,Drinks ,motorcycle ,18,3.108848712
32,5,Drinks ,scooter ,31,4.679629539
39,4.8,Drinks ,scooter ,26,3.112471119
30,4.6,Buffet ,motorcycle ,26,4.594039413
39,4.9,Drinks ,motorcycle ,25,3.056126598
32,4.7,Drinks ,motorcycle ,26,3.108281812
29,4.6,Meal ,motorcycle ,26,4.722885901
28,4.8,Buffet ,scooter ,18,3.108843275
32,4.4,Drinks ,motorcycle ,37,6.135284632
37,4.6,Buffet ,electric_scooter ,28,3.062377377
22,4.9,Snack ,motorcycle ,11,1.556323156
34,4.5,Meal ,motorcycle ,25,3.028533194
32,4.6,Meal ,motorcycle ,32,4.722885901
27,4.8,Meal ,motorcycle ,15,1.574295332
37,4.1,Buffet ,motorcycle ,38,4.66235009
28,4.7,Drinks ,scooter ,28,3.0216076
31,4.9,Meal ,motorcycle ,28,4.662872593
36,4.2,Drinks ,motorcycle ,37,4.662797161
37,4.8,Meal ,motorcycle ,25,4.542654484
28,4,Buffet ,motorcycle ,32,6.21563715
31,4.9,Drinks ,motorcycle ,38,6.065706579
21,4.9,Buffet ,motorcycle ,12,1.514279215
27,4.6,Drinks ,scooter ,12,1.554032275
21,4.7,Buffet ,scooter ,27,4.679555083
20,4.7,Buffet ,scooter ,17,3.063137547
39,4.6,Drinks ,motorcycle ,25,4.5429439
35,4.8,Snack ,scooter ,29,3.108612206
39,4.6,Buffet ,motorcycle ,32,4.532333034
27,4.6,Buffet ,electric_scooter ,16,3.119632515
36,4.7,Snack ,electric_scooter ,16,3.077061635
21,4.6,Snack ,scooter ,16,3.030487909
33,4.8,Buffet ,electric_scooter ,28,4.544153014
37,4.9,Drinks ,scooter ,27,4.499280618
33,4.7,Drinks ,scooter ,18,3.108609946
